216;Tanzania
217;Thailand
214;Taiwan
215;Tajikistan
212;Switzerland
213;Syria
210;Swaziland
211;Sweden
165;Oman
218;Togo
219;Tokelau
133;Maldives
132;Malaysia
131;Malawi
130;Madagascar
137;Marshall Islands
136;Man (Isle of)
135;Malta
134;Mali
139;Mauritania
138;Martinique
166;Pakistan
24;Bermuda
25;Bhutan
26;Bolivia
27;Bosnia and Herzegovina
20;Belarus
21;Belgium
22;Belize
23;Benin
160;Nigeria
28;Botswana
29;Bouvet Island
161;Niue
4;American Samoa
8;Antarctica
163;Northern Mariana Islands
119;Laos
120;Latvia
121;Lebanon
122;Lesotho
123;Liberia
124;Libya
125;Liechtenstein
126;Lithuania
127;Luxembourg
128;Macau S.A.R.
129;Macedonia
167;Palau
118;Kyrgyzstan
59;Djibouti
58;Denmark
55;Cuba
54;Croatia (Hrvatska)
57;Czech Republic
56;Cyprus
51;Cook Islands
50;Congo The Democratic Republic Of The
53;Cote D'Ivoire (Ivory Coast)
52;Costa Rica
164;Norway
201;Somalia
199;Smaller Territories of the UK
179;Reunion
200;Solomon Islands
195;Sierra Leone
194;Seychelles
197;Slovakia
178;Qatar
191;Saudi Arabia
190;Sao Tome and Principe
193;Serbia
192;Senegal
115;Korea North
114;Kiribati
88;Guadeloupe
89;Guam
111;Jordan
110;Jersey
113;Kenya
112;Kazakhstan
82;Germany
83;Ghana
80;Gambia The
81;Georgia
86;Greenland
87;Grenada
84;Gibraltar
85;Greece
198;Slovenia
206;Sri Lanka
226;Tuvalu
3;Algeria
177;Puerto Rico
7;Anguilla
225;Turks And Caicos Islands
245;Zambia
244;Yugoslavia
108;Jamaica
109;Japan
241;Wallis And Futuna Islands
240;Virgin Islands (US)
243;Yemen
242;Western Sahara
102;Indonesia
103;Iran
100;Iceland
101;India
106;Israel
107;Italy
104;Iraq
105;Ireland
39;Cape Verde
38;Canada
33;Bulgaria
32;Brunei
31;British Indian Ocean Territory
30;Brazil
37;Cameroon
36;Cambodia
35;Burundi
34;Burkina Faso
246;Zimbabwe
205;Spain
223;Turkey
176;Portugal
60;Dominica
61;Dominican Republic
62;East Timor
63;Ecuador
64;Egypt
65;El Salvador
66;Equatorial Guinea
67;Eritrea
68;Estonia
69;Ethiopia
175;Poland
174;Pitcairn Island
173;Philippines
172;Peru
171;Paraguay
170;Papua new Guinea
203;South Georgia
222;Tunisia
181;Russia
182;Rwanda
183;Saint Helena
180;Romania
2;Albania
162;Norfolk Island
187;Saint Vincent And The Grenadines
184;Saint Kitts And Nevis
6;Angola
220;Tonga
186;Saint Pierre and Miquelon
188;Samoa
189;San Marino
202;South Africa
196;Singapore
221;Trinidad And Tobago
185;Saint Lucia
99;Hungary
98;Hong Kong S.A.R.
168;Palestinian Territory Occupied
169;Panama
229;United Arab Emirates
228;Ukraine
91;Guernsey and Alderney
90;Guatemala
93;Guinea-Bissau
92;Guinea
95;Haiti
94;Guyana
97;Honduras
96;Heard and McDonald Islands
11;Armenia
10;Argentina
13;Australia
12;Aruba
15;Azerbaijan
14;Austria
17;Bahrain
16;Bahamas The
19;Barbados
18;Bangladesh
117;Kuwait
116;Korea South
204;South Sudan
151;Namibia
150;Myanmar
153;Nepal
152;Nauru
155;Netherlands The
154;Netherlands Antilles
157;New Zealand
156;New Caledonia
159;Niger
158;Nicaragua
234;Uzbekistan
238;Vietnam
239;Virgin Islands (British)
207;Sudan
235;Vanuatu
236;Vatican City State (Holy See)
237;Venezuela
230;United Kingdom
231;United States
232;United States Minor Outlying Islands
233;Uruguay
224;Turkmenistan
48;Comoros
49;Congo
46;Cocos (Keeling) Islands
47;Colombia
44;China
45;Christmas Island
42;Chad
43;Chile
40;Cayman Islands
41;Central African Republic
1;Afghanistan
5;Andorra
9;Antigua And Barbuda
146;Mongolia
147;Montserrat
144;Moldova
145;Monaco
142;Mexico
143;Micronesia
140;Mauritius
141;Mayotte
209;Svalbard And Jan Mayen Islands
208;Suriname
148;Morocco
149;Mozambique
77;French Polynesia
76;French Guiana
75;France
74;Finland
73;Fiji Islands
72;Faroe Islands
71;Falkland Islands
70;External Territories of Australia
79;Gabon
78;French Southern Territories
227;Uganda
